#CUE_COLUMN	FRAGMENT_COLUMN	INSTANCE_COLUMN	EXTREME_COLUMN	LEXICALIZATION_COLUMN	OPPOSING_SENTIMENT_COLUMN	TABOO_COLUMN	ANTONYM_COLUMN	UNUSUAL_COLUMN	LABEL_COLUMN
You are a hobo.	You would be perfectly at home	You would be perfectly at home on the streets.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	ABUSE
You are a hobo.	You would do well	You would do well living under a bridge.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	ABUSE
You are a hobo.	You would look more	You would look more like you work on a muddy farm.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are a show off.	There's nothing you ... for ...	There's nothing you won't do for attention!	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are a show off.	You always want to be	You always want to be the center of attention.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are a show off.	You are good at	You are good at bragging.	_	_	OPPOSING_SENTIMENT	_	_	_	ABUSE
You are a show off.	You have	You have an abundance of personality.	EXTREME	_	_	_	_	UNUSUAL	OTHER
You are a show off.	You lack	You lack humility.	_	_	_	_	ANTONYM	UNUSUAL	ABUSE
You are boring.	... with you is excellent ... practice.	Being with you is excellent boredom practice.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are boring.	I feel like ... when I am with you.	I feel like I'm searching for something to entertain me when I am with you.	_	_	_	_	_	UNUSUAL	ABUSE
You are boring.	There is ... in your life.	There is nothing of interest in your life.	EXTREME	_	_	_	ANTONYM	UNUSUAL	ABUSE
You are boring.	You are	You are dulling my senses.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are boring.	You are not at all	You are not at all funny.	EXTREME	_	_	_	ANTONYM	_	ABUSE
You are boring.	You are so	You are so vanilla.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are boring.	You are the leader of	You are the leader of Boredville.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are boring.	You inspire me to	You inspire me to fall asleep.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	ABUSE
You are boring.	You lack	You lack personality.	EXTREME	_	_	_	ANTONYM	UNUSUAL	ABUSE
You are boring.	You make ... an activity to look forward to.	You make watching paint dry an activity to look forward to.	EXTREME	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	ABUSE
You are embarrassing.	I ... with you.	I would rather not be seen with you.	_	_	_	_	_	_	ABUSE
You are embarrassing.	It is impressive how consistently	It is impressive how consistently you fail to impress.	EXTREME	_	OPPOSING_SENTIMENT	_	ANTONYM	UNUSUAL	ABUSE
You are embarrassing.	It's great that no one notices ... when you ...	It's great that no one notices my bad haircut when you are around.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are embarrassing.	You ... for the wrong reasons.	You draw attention for the wrong reasons.	_	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	ABUSE
You are embarrassing.	Your ... must be so strong to allow ...	Your self-worth must be so strong to allow so many people to laugh at you.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are ugly.	I appreciate the fact that you make ... look ...	I appreciate the fact that you make me look hotter when I am with you.	_	_	_	_	_	UNUSUAL	ABUSE
You are ugly.	I feel bad for the ... in your house.	I feel bad for the mirrors in your house.	_	_	_	_	_	UNUSUAL	ABUSE
You are ugly.	I see that you don't value	I see that you don't value appearances.	_	_	_	_	_	_	ABUSE
You are ugly.	You are	You are challenged in the looks department.	EXTREME	_	_	TABOO	ANTONYM	UNUSUAL	ABUSE
You are ugly.	You deviate from	You deviate from societal beauty standards.	_	_	_	_	ANTONYM	UNUSUAL	ABUSE
You are ugly.	You didn't get	You didn't get your mother's good looks.	_	_	_	TABOO	ANTONYM	_	ABUSE
You are ugly.	You do not	You do not look admirable.	_	_	_	TABOO	ANTONYM	_	ABUSE
You are ugly.	You don't seem to ... women much.	You don't seem to appeal to women much.	_	_	_	TABOO	ANTONYM	_	ABUSE
You are ugly.	You don't seem to take too much ... in your ...	You don't seem to take too much pride in your hair.	_	_	_	_	ANTONYM	_	ABUSE
You are ugly.	You got a face that	You got a face that a make up artist would find hard to work with.	_	_	_	TABOO	_	_	ABUSE
You are ugly.	You got a face that	You got a face that isn't necessarily symmetrical.	_	_	_	TABOO	_	_	ABUSE
You are ugly.	You have	You have the face that only a mother can love.	EXTREME	_	_	TABOO	_	UNUSUAL	ABUSE
You are ugly.	You have	You have the feet that a hobbit would be proud of.	EXTREME	_	_	TABOO	_	UNUSUAL	ABUSE
You are ugly.	You would not be considered	You would not be considered pretty.	_	_	_	_	ANTONYM	_	ABUSE
You are ugly.	Your ... is in vain.	Your makeover is in vain.	_	_	_	_	_	_	ABUSE
You are ugly.	Your body proportions are ... than ...	Your body proportions are less in sync than your sisters.	_	_	_	TABOO	_	_	ABUSE
You are unfashionable.	I think you looked best before	I think you looked best before you dressed up.	EXTREME	_	_	_	_	_	ABUSE
You are unfashionable.	You are not in your	You are not in your best clothing today.	_	_	_	_	_	_	ABUSE
You are unfashionable.	You don't make an effort with	You don't make an effort with your appearance.	_	_	_	_	ANTONYM	_	ABUSE
You are unfashionable.	You don't seem to take too much ... in your ...	You don't seem to take too much pride in your appearance.	_	_	_	_	ANTONYM	_	ABUSE
You are stupid.	... has never really been your thing.	Intelligence has never really been your thing.	EXTREME	_	_	_	ANTONYM	UNUSUAL	ABUSE
You are stupid.	Being ... must be so hard.	Being opinionated with little knowledge must be so hard.	_	_	_	_	_	_	ABUSE
You are stupid.	I admire your lack of	I admire your lack of understanding.	_	_	OPPOSING_SENTIMENT	_	ANTONYM	_	ABUSE
You are stupid.	I appreciate the fact that you make ... look ...	I appreciate the fact that you make my sofa look smart.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are stupid.	I feel like ... when I am with you.	I feel like banging my head against a wall when I am with you.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are stupid.	I find you	I find you intellectually challenged.	_	LEXICALIZATION	_	_	ANTONYM	_	ABUSE
You are stupid.	I see no ... in you.	I see no intelligence in you.	EXTREME	_	_	_	ANTONYM	_	ABUSE
You are stupid.	I think you might be challenged	I think you might be challenged mentally.	_	LEXICALIZATION	_	_	ANTONYM	UNUSUAL	ABUSE
You are stupid.	I'll be so proud of you when you finally	I'll be so proud of you when you finally complete a full sentence using the English language.	_	_	_	_	_	UNUSUAL	ABUSE
You are stupid.	When I talk to you next, I shall remember	When I talk to you next, I shall remember that I need to use shorter sentences.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are stupid.	You are	You are always wrong about everything.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are stupid.	You are	You are challenged in a specific area.	_	_	_	_	_	_	ABUSE
You are stupid.	You are not overly	You are not overly bright.	_	_	_	_	ANTONYM	_	ABUSE
You are stupid.	You are not well	You are not well versed.	_	_	_	_	ANTONYM	_	ABUSE
You are stupid.	You could	You could go back to school.	_	_	_	_	_	_	OTHER
You are stupid.	You could probably make good use of	You could probably make good use of a dictionary.	EXTREME	_	_	_	_	_	ABUSE
You are stupid.	You didn't get	You didn't get your mother's intellectualism.	_	_	_	_	ANTONYM	_	ABUSE
You are stupid.	You don't have	You don't have a clue.	EXTREME	_	_	_	_	_	ABUSE
You are stupid.	You make	You make a scarecrow feel intelligent.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are stupid.	You should	You should hire a professional to do such things.	_	_	_	_	_	_	OTHER
You are stupid.	You still need to find the keys to	You still need to find the keys to the brain department.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are stupid.	You were mildly	You were mildly educated.	_	_	_	_	ANTONYM	_	ABUSE
You are stupid.	You wouldn't	You wouldn't know the answer if it hit you on the head.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are nerdy.	... wasn't your strong point.	Making friends wasn't your strong point.	_	_	_	_	ANTONYM	_	ABUSE
You are nerdy.	I admire your lack of	I admire your lack of social skills.	EXTREME	_	OPPOSING_SENTIMENT	_	ANTONYM	UNUSUAL	ABUSE
You are nerdy.	You are not ... of society.	You are not a big part of society.	_	_	_	_	_	_	ABUSE
You are nerdy.	You are not very	You are not very cool.	_	_	_	_	ANTONYM	_	ABUSE
You are nerdy.	You don't seem to have many	You don't seem to have many friends.	_	_	_	_	ANTONYM	_	ABUSE
You are nerdy.	You have	You have the makings of someone who will struggle to make social connections.	_	_	_	_	_	_	ABUSE
You are nerdy.	You have obviously prioritised ... over ...	You have obviously prioritised math over English.	_	_	_	_	_	_	OTHER
You are nerdy.	You must be the king of	You must be the king of the comic book store.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are nerdy.	Your ... of what is ... is a talent.	Your lack of awareness of what is going on in pop culture is a talent.	EXTREME	_	OPPOSING_SENTIMENT	_	ANTONYM	UNUSUAL	ABUSE
You are a weakling.	... just isn't working for you.	Pretending to be strong just isn't working for you.	_	_	_	_	ANTONYM	_	ABUSE
You are a weakling.	I bet a big ... could ...	I bet a big gust of wind could blow you over.	EXTREME	_	_	_	_	UNUSUAL	ABUSE
You are a weakling.	You could ... and be ...	You could lift a 1kg bag of sugar and be crushed.	_	_	_	_	_	UNUSUAL	ABUSE
You are a weakling.	You mustn't ... very often.	You mustn't work out very often.	_	_	_	_	_	_	ABUSE
You are a weakling.	You wouldn't	You wouldn't do well in a wrestling match.	_	_	_	_	_	_	ABUSE
NO_CUE	... always begins with you.	Happiness always begins with you.	_	_	_	_	_	_	OTHER
NO_CUE	... always begins with you.	Inspiration always begins with you.	_	_	_	_	_	_	OTHER
NO_CUE	... always begins with you.	Kindness always begins with you.	_	_	_	_	_	_	OTHER
NO_CUE	... always begins with you.	Love always begins with you.	_	_	_	_	_	_	OTHER
NO_CUE	... appears to have eluded you.	The name of our guest appears to have eluded you.	_	_	_	_	_	_	OTHER
NO_CUE	... are in your future.	Exciting opportunities are in your future.	_	_	_	_	_	_	OTHER
NO_CUE	... are in your future.	Wonderful things are in your future.	_	_	_	_	_	_	OTHER
NO_CUE	... are repellent.	Some people might think some of your suggestions are repellent.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	... around you.	I always feel conflicted around you.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	... around you.	I think you are spreading a feeling of tension to those around you.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	... around you.	You have a negative influence around you.	_	_	_	_	_	_	OTHER
NO_CUE	... around you.	You must be more appreciative of those around you.	_	_	_	_	_	_	OTHER
NO_CUE	... comes naturally to you.	Beauty comes naturally to you.	_	_	_	_	_	_	OTHER
NO_CUE	... comes naturally to you.	Being proactive comes naturally to you.	_	_	_	_	_	_	OTHER
NO_CUE	... comes naturally to you.	Flirting with everyone comes naturally to you.	_	_	_	_	_	_	OTHER
NO_CUE	... comes naturally to you.	Intelligence comes naturally to you.	_	_	_	_	_	_	OTHER
NO_CUE	... comes naturally to you.	Making people feel good comes naturally to you.	_	_	_	_	_	_	OTHER
NO_CUE	... does not sit well with you.	Peaceful protesting does not sit well with you.	_	_	_	_	ANTONYM	UNUSUAL	OTHER
NO_CUE	... does not sit well with you.	Praising does not sit well with you.	_	_	_	_	_	_	OTHER
NO_CUE	... does not sit well with you.	Taking orders does not sit well with you.	_	_	_	_	_	_	OTHER
NO_CUE	... has never really been your thing.	Housework has never really been your thing.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	... has never really been your thing.	Strict punctuality has never really been your thing.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	... is foreign to you.	'Walking a mile in someone else's shoes' is foreign to you.	_	_	_	_	_	_	OTHER
NO_CUE	... is foreign to you.	Spanish is foreign to you.	_	_	_	_	_	_	OTHER
NO_CUE	... is foreign to you.	Thinking of others is foreign to you.	_	_	_	_	ANTONYM	UNUSUAL	OTHER
NO_CUE	... is normal to you.	Being able to relax every day is normal to you.	_	_	_	_	_	_	OTHER
NO_CUE	... is normal to you.	Kindness is normal to you.	_	_	_	_	_	_	OTHER
NO_CUE	... is not your ... attribute.	Cockiness is not your most favourable attribute.	_	_	_	_	_	_	OTHER
NO_CUE	... is not your ... attribute.	Identifying risks is not your strongest attribute.	_	_	_	_	_	_	OTHER
NO_CUE	... is not your ... attribute.	Patience is not your best attribute.	_	_	_	_	_	_	OTHER
NO_CUE	... is not your ... attribute.	Your stinginess is not your greatest attribute.	_	_	_	_	_	_	OTHER
NO_CUE	... is not your forte.	Diplomacy is not your forte.	_	_	_	_	_	_	OTHER
NO_CUE	... is not your forte.	Mathematics is not your forte.	_	_	_	_	_	_	OTHER
NO_CUE	... is not your forte.	Piano is not your forte.	_	_	_	_	_	_	OTHER
NO_CUE	... just isn't working for you.	I'm afraid, graduate school just isn't working for you.	_	_	_	_	_	_	OTHER
NO_CUE	... just isn't working for you.	The relationship you have with your neighbour just isn't working for you.	_	_	_	_	_	_	OTHER
NO_CUE	... must be your middle name.	Confidence must be your middle name.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	... must be your middle name.	Radiance must be your middle name.	_	_	_	_	_	_	OTHER
NO_CUE	... must be your middle name.	Success must be your middle name.	_	_	_	_	_	_	OTHER
NO_CUE	... must be your middle name.	Worry must be your middle name.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	... must have been really good if you don't want to ...	Your exam results must have been really good if you don't want to put any effort into your application.	_	_	_	_	_	_	OTHER
NO_CUE	... not your strong suit.	Being on time is not your strong suit.	_	_	_	_	_	_	OTHER
NO_CUE	... not your strong suit.	Helping others through tough times is not your strong suit.	_	_	_	_	ANTONYM	_	OTHER
NO_CUE	... people for fun.	You seem to say odd things to people for fun.	_	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	OTHER
NO_CUE	... peoples' lives.	It is difficult for you to understand the challenges in peoples' lives.	_	_	_	_	_	_	OTHER
NO_CUE	... peoples' lives.	You could have more of a positive influence on peoples' lives.	_	_	_	_	_	_	OTHER
NO_CUE	... suit you well.	Colours suit you well.	_	_	_	_	_	_	OTHER
NO_CUE	... suit you well.	Flowing dresses suit you well.	_	_	_	_	_	_	OTHER
NO_CUE	... suit you well.	Pink dresses suit you well.	_	_	_	_	_	_	OTHER
NO_CUE	... suit you well.	Sunshine and travel suit you well.	_	_	_	_	_	_	OTHER
NO_CUE	... suit you well.	Your clothes suit you well.	_	_	_	_	_	_	OTHER
NO_CUE	... wasn't your strong point.	Constructive criticism wasn't your strong point.	_	_	_	_	_	_	OTHER
NO_CUE	... wasn't your strong point.	Listening wasn't your strong point.	_	_	_	_	ANTONYM	_	OTHER
NO_CUE	... when I'm around you.	I am nervous when I'm around you.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	... when I'm around you.	I walk on eggshells when I'm around you.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	... with you is excellent ... practice.	Going to France with you is excellent French practice.	_	_	_	_	_	_	OTHER
NO_CUE	... with you is excellent ... practice.	Playing with you is excellent golf practice.	_	_	_	_	_	_	OTHER
NO_CUE	... with you is excellent ... practice.	Playing with you is excellent musical practice.	_	_	_	_	_	_	OTHER
NO_CUE	... with you is excellent ... practice.	Running with you is excellent because I get a lot of practice.	_	_	_	_	_	_	OTHER
NO_CUE	... with you is excellent ... practice.	Singing with you is excellent vocal practice.	_	_	_	_	_	_	OTHER
NO_CUE	Being ... must be nice.	Being an amazing human must be nice.	_	_	_	_	_	_	OTHER
NO_CUE	Being ... must be nice.	Being efficient and hardworking must be nice.	_	_	_	_	_	_	OTHER
NO_CUE	Being ... must be nice.	Being so happy all the time must be nice.	_	_	_	_	_	_	OTHER
NO_CUE	Being ... must be nice.	Being unphased must be nice.	_	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	OTHER
NO_CUE	Being ... must be nice.	Being your friend must be nice.	_	_	_	_	_	_	OTHER
NO_CUE	Being ... must be so hard.	Being a detail-oriented person must be so hard.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	Being ... must be so hard.	Being your unpunctual self must be so hard.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	Being around you is	Being around you is difficult.	_	_	_	_	_	_	OTHER
NO_CUE	Being around you is	Being around you is frustrating when you do not arrive on time.	_	_	_	_	_	_	OTHER
NO_CUE	Being around you is	Being around you is nicer when we can get outside.	_	_	_	_	_	_	OTHER
NO_CUE	But of course, the world is	But of course, the world is your oyster.	_	_	_	_	_	_	OTHER
NO_CUE	Completing ... must be your life goal.	Completing everyone's work and taking their credit must be your life goal.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	Even ... would be shocked by your actions.	Even the most liberal person would be shocked by your actions.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	Even ... would be shocked by your actions.	Even your mother would be shocked by your actions.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	How wonderful that you	How wonderful that you arrived early.	_	_	_	_	_	_	OTHER
NO_CUE	How wonderful that you	How wonderful that you can generate such a range of ideas.	_	_	_	_	_	_	OTHER
NO_CUE	How wonderful that you	How wonderful that you cherish time.	_	_	_	_	_	_	OTHER
NO_CUE	How wonderful that you	How wonderful that you keep trying.	_	_	_	_	_	_	OTHER
NO_CUE	How wonderful that you	How wonderful that you share your interests with others.	_	_	_	_	_	_	OTHER
NO_CUE	How wonderful that you	How wonderful that you shared with him.	_	_	_	_	_	_	OTHER
NO_CUE	How wonderful that you are always	How wonderful that you are always friendly and happy.	_	_	_	_	_	_	OTHER
NO_CUE	How wonderful that you are always	How wonderful that you are always here for me.	_	_	_	_	_	_	OTHER
NO_CUE	How wonderful that you are always	How wonderful that you are always so helpful.	_	_	_	_	_	_	OTHER
NO_CUE	I ... with you.	I am always confused with you.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	I ... with you.	I don't appreciate that you brought all these people with you.	_	_	_	_	_	_	OTHER
NO_CUE	I ... with you.	I give up with you.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	I ... you greatly.	I admire you greatly.	_	_	_	_	_	_	OTHER
NO_CUE	I ... you greatly.	I have to monitor you greatly.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	I ... you greatly.	I like you greatly.	_	_	_	_	_	_	OTHER
NO_CUE	I ... you.	I could set my watch to you.	_	_	_	_	_	_	OTHER
NO_CUE	I ... you.	I don't understand you.	_	_	_	_	_	_	OTHER
NO_CUE	I ... you.	I feel sorry for you.	_	_	_	_	_	_	OTHER
NO_CUE	I ... you.	I get more detail out of a murder mystery book than you.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	I ... you.	I worry about you.	_	_	_	_	_	_	OTHER
NO_CUE	I admire your lack of	I admire your lack of enthusiasm.	_	_	OPPOSING_SENTIMENT	_	_	UNUSUAL	OTHER
NO_CUE	I always need ... with you.	I always need to avoid being overly direct with you.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	I always need ... with you.	I always need to avoid sensitive subjects with you.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	I always thought you were talented in	I always thought you were talented in maths and chemistry.	_	_	_	_	_	_	OTHER
NO_CUE	I always thought you were talented in	I always thought you were talented in other areas.	_	_	_	_	_	_	OTHER
NO_CUE	I always thought you were talented in	I always thought you were talented in visual arts.	_	_	_	_	_	_	OTHER
NO_CUE	I am glad we can	I am glad we can be friends.	_	_	_	_	_	_	OTHER
NO_CUE	I am glad we can	I am glad we can spend time together.	_	_	_	_	_	_	OTHER
NO_CUE	I am glad we can	I am glad we can talk.	_	_	_	_	_	_	OTHER
NO_CUE	I am glad we can	I am glad we can use this opportunity to discuss the situation.	_	_	_	_	_	_	OTHER
NO_CUE	I am not ... you.	I am not at all like you.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	I am not ... you.	I am not going to help you.	_	_	_	_	ANTONYM	_	OTHER
NO_CUE	I am not ... you.	I am not only here for you.	_	_	_	_	_	_	OTHER
NO_CUE	I am sure your second name is	I am sure your second name is danger.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	I am sure your second name is	I am sure your second name is overachiever.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	I appreciate the fact that you make ... look ...	I appreciate the fact that you make me look twice as efficient.	_	_	_	_	_	UNUSUAL	OTHER
NO_CUE	I bet a big ... could ...	I bet a big push could help you be involved more.	_	_	_	_	_	_	OTHER
NO_CUE	I bet people in your presence don't ... for too long.	I bet people in your presence don't feel competent for too long.	_	_	_	_	ANTONYM	UNUSUAL	OTHER
NO_CUE	I bet people in your presence don't ... for too long.	I bet people in your presence don't feel uncomfortable for too long.	_	_	_	_	_	_	OTHER
NO_CUE	I bet people in your presence don't ... for too long.	I bet people in your presence don't stay bored for too long.	_	_	_	_	_	_	OTHER
NO_CUE	I bet you rake it in	I bet you rake it in at the slot machines every night.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	I bet you rake it in	I bet you rake it in don't you!	_	_	_	_	_	_	OTHER
NO_CUE	I bet you rake it in	I bet you rake it in when you do your karaoke nights for charity.	_	_	_	_	_	_	OTHER
NO_CUE	I bet you slow down for	I bet you slow down for ants crossing the road.	EXTREME	_	_	_	_	UNUSUAL	OTHER
NO_CUE	I bet you slow down for	I bet you slow down for handsome men crossing the road.	_	_	_	_	_	_	OTHER
NO_CUE	I can only hope that	I can only hope that you can start managing your many responsibilities better.	_	_	_	_	_	_	OTHER
NO_CUE	I can only hope that	I can only hope that you get quicker.	_	_	_	_	_	_	OTHER
NO_CUE	I can only hope that	I can only hope that you learn from your mistakes.	_	_	_	_	_	_	OTHER
NO_CUE	I can think of better ... than ... in your ...	I can think of better reasons than those in your memo.	_	_	_	_	_	_	OTHER
NO_CUE	I can think of better ... than ... in your ...	I can think of better solutions than suggested in your proposal.	_	_	_	_	_	_	OTHER
NO_CUE	I can't believe	I can't believe you are not able to contribute even a little.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	I can't believe	I can't believe you took so long.	EXTREME	_	_	_	_	_	OTHER
NO_CUE	I can't imagine anyone coming to you when they need	I can't imagine anyone coming to you when they need a quick solution.	EXTREME	_	_	_	_	_	OTHER
