#CUE_PHRASE	INSTANCE
You are spoilt.	It's so nice that you never have to work for anything you want.
NO_CUE	It's so nice that you never have to exert yourself.
You are spoilt.	You are used to getting what you want.
You are spoilt.	You are used to people saying yes to you.
NO_CUE	You are used to getting your own way.
You are childish.	You should go to your mom and cry.
You are childish.	You have some growing up to do.
NO_CUE	You have some assignments to do.
NO_CUE	You have some serious work to do.
NO_CUE	You have some thinking to do.
You are childish.	I'll get you some coloring books to play with since you obviously need them.
NO_CUE	I'll get you some feedback so that you can explore how you may wish to modify your behaviour next time.
NO_CUE	I'll get you some things to clean up the mess you have made.
You are childish.	Your childhood must have been really good if you don't want to grow up.
NO_CUE	Your exam results must have been really good if you don't want to put any effort into your application.
You are childish.	You have the mentality of a pre-pubescent adult.
You are childish.	I'm looking forward to your second growth spurt, where you finally become an adult.
NO_CUE	I'm looking forward to the part of the meal, where you serve your famous dessert.
You are childish.	You never seem to grow up.
NO_CUE	You never seem to finish anything.
NO_CUE	You never seem to understand people's needs.
You are childish.	You need to act your age.
NO_CUE	You need to act kinder to others.
NO_CUE	You need to act on your own if you want to succeed in life.
You are childish.	Conversing with you is excellent child-rearing practice.
NO_CUE	Playing with you is excellent musical practice.
You are childish.	You exude the mind of a child, if not the charm.
You are sadistic.	Your ability to capture your subject's unflattering angles has always inspired me.
NO_CUE	Your ability to encourage others has always inspired me.
NO_CUE	Your ability to shock has always inspired me.
You are sadistic.	You must revel in making people feel uncomfortable.
You are sadistic.	You must revel in the pain of others.
NO_CUE	You must revel in the attention.
NO_CUE	You must revel in your recent fame.
You are sadistic.	You take pleasure from watching others in pain.
You are sadistic.	You are so imaginative at thinking of ways to hurt people.
NO_CUE	You are so imaginative at developing funny story lines.
NO_CUE	You are so imaginative at making up stories.
NO_CUE	You are so imaginative at problem solving.
You are sadistic.	Your love of seeing people fail is unmatched.
NO_CUE	Your ability to push through no matter what is unmatched.
You are sadistic.	It's amazing how creative you are at inflicting pain on others.
NO_CUE	It's amazing how creative you are at decorating your home for the holidays.
NO_CUE	It's amazing how creative you are at designing experiments.
NO_CUE	It's amazing how creative you are at drawing and painting.
NO_CUE	It's amazing how creative you are at making striking posters.
NO_CUE	It's amazing how creative you are at telling the truth.
NO_CUE	It's amazing how creative you are at tidying up.
You are sadistic.	I bet you slow down for car crashes.
NO_CUE	I bet you slow down for handsome men crossing the road.
You are a pain in the neck.	You make me want to walk under a bus.
NO_CUE	You make me want to avoid the correct answer.
You are a pain in the neck.	I see you take pride in winding people up.
NO_CUE	I see you take pride in being fashionably late.
You are a pain in the neck.	You are starting to annoy me.
NO_CUE	You are starting to irritate your father.
NO_CUE	You are starting to worry about not getting everything absolutely perfect before the party starts.
You are a pain in the neck.	You are a thorn in my side.
You are a pain in the neck.	You are the reason I take painkillers.
NO_CUE	You are lacking in the self awareness department.
NO_CUE	You are missing a heart.
You are a pain in the neck.	You are not easy to get on with.
NO_CUE	You are not easy to be in the company of.
NO_CUE	You are not easy to get to know.
NO_CUE	You are not easy to joke with.
NO_CUE	You are not easy to live with.
NO_CUE	You are not easy to please.
You are a pain in the neck.	Being around you is far too stressful.
You are a pain in the neck.	Being around you is occasionally quite draining.
NO_CUE	Being around you is difficult.
NO_CUE	Being around you is frustrating when you do not arrive on time.
You are a pain in the neck.	I would prefer you did something else, away from me.
NO_CUE	I would prefer you text and not call.
NO_CUE	I would prefer you to arrive 5 minutes early.
You are a pain in the neck.	You have a personality that is challenging.
NO_CUE	You have taken the wrong path.
You are a pain in the neck.	You inspire people to turn and run the moment they see you.
NO_CUE	You inspire people to be better.
NO_CUE	You inspire people to do the wrong thing.
NO_CUE	You inspire people to work harder.
You are a pain in the neck.	You make my life difficult.
NO_CUE	You make clever plans to give yourself an advantage.
You are a pain in the neck.	I am glad we can only meet as often as we do.
NO_CUE	I am glad we can be friends.
NO_CUE	I am glad we can talk.
You are a pain in the neck.	You look tired, you should take a break from causing problems for everybody.
NO_CUE	You look a bit down today, you should go back to bed.
NO_CUE	You look tired, you should stop going to bed late.
You are a pain in the neck.	You have a rare and impressive talent for getting under one's skin.
NO_CUE	You have a rare and impressive talent for juggling five different balls in the air.
NO_CUE	You have a rare and impressive talent for summarising succinctly.
You are annoying.	You are getting on my nerves.
NO_CUE	You are getting on my nerves when you repeat a question I have already answered.
NO_CUE	You are getting on slowly.
You are annoying.	You are testing my patience.
You are annoying.	You are not the best company.
NO_CUE	You are not the best at everything.
You are annoying.	You would not be considered to be pleasant company.
NO_CUE	You would not be considered for any roles which required the ability to lead.
You are annoying.	Being around you is exhausting.
NO_CUE	Being around you is nicer when we can get outside.
You are annoying.	I bet people in your presence don't hang around for too long.
NO_CUE	I bet people in your presence don't feel uncomfortable for too long.
You are annoying.	We all know that people don't gravitate around you.
NO_CUE	We all know that your subordinates are nervous around you.
You are annoying.	I have no time for you.
You are annoying.	I am glad we can take a break from each other on weekends.
NO_CUE	I am glad we can spend time together.
NO_CUE	I am glad we can use this opportunity to discuss the situation.
You are annoying.	I prefer solitude to your company.
NO_CUE	I prefer her dress to your dress.
NO_CUE	I prefer my ideas to your ideas.
NO_CUE	I prefer my music to your play list.
NO_CUE	I prefer your last idea to your new one.
You are annoying.	You are the kind of person that brightens up a room by leaving it.
NO_CUE	You are the kind of person that finds work overwhelming.
NO_CUE	You are the kind of person that gives only positive criticism.
NO_CUE	You are the kind of person that pretends to not know what they are doing.
NO_CUE	You are the kind of person that you can never pin down.
You are gossipy.	You have very loose lips.
NO_CUE	You have very loose goals.
NO_CUE	You have very loose ideas on what constitutes a joke, it can sometimes be offensive.
You are gossipy.	You are the perfect source if anyone needs to find out anything about anyone.
NO_CUE	You are the perfect source if I need good information about something.
NO_CUE	You are the perfect source if we need accurate information.
You are gossipy.	You like to talk about others a lot.
You are gossipy.	You sure do enjoy talking.
NO_CUE	You sure do enjoy dancing.
NO_CUE	You sure do enjoy making a kinder world.
NO_CUE	You sure do enjoy so many varied hobbies.
You are ignorant.	You are misinformed!
You are ignorant.	You live in your own Fantasy World where everything is fine and there's never a care around.
You are ignorant.	Being so unaware of your surroundings must be nice.
NO_CUE	Being efficient and hardworking must be nice.
NO_CUE	Being your friend must be nice.
You are ignorant.	You raise unawareness to a new level.
NO_CUE	You raise overworking to a new level.
You are ignorant.	You have missed the point.
You are ignorant.	You lack the knowledge you think you have.
You are ignorant.	I always thought you were talented in selective hearing.
NO_CUE	I always thought you were talented in maths and chemistry.
NO_CUE	I always thought you were talented in other areas.
NO_CUE	I always thought you were talented in visual arts.
You are ignorant.	You never pay attention to those around you.
NO_CUE	I think you are spreading a feeling of tension to those around you.
