#CUE_PHRASE	INSTANCE
NO_CUE	Your tendency to make a mountain out of a molehill is showing.
You are a macho.	You exude an intense masculinity.
You are nonchalant.	You are not interested in anything at all.
You are nonchalant.	You would fit well in with people who are always late.
NO_CUE	You would fit well in an easier college course.
You are nonchalant.	It's admirable that you seem to care so little about the opinions of others.
NO_CUE	It's admirable that you help others.
NO_CUE	It's admirable that you persevere and are full of determination.
NO_CUE	It's admirable that you try to keep up.
You are nonchalant.	Being oblivious to the housing crisis must be nice.
NO_CUE	Being so happy all the time must be nice.
You are nonchalant.	If we got lost you wouldn't care less.
You are nonchalant.	You don't care about appearances at all.
NO_CUE	You don't care about how much time I spend washing your clothes.
NO_CUE	You don't care about workplace politics.
You are nonchalant.	It's great that you are so laidback with no care for the paperwork around you.
NO_CUE	It's great that you are so enthusiastic about elastic bands when others don't care at all.
NO_CUE	It's great that you are so focused on your tasks.
NO_CUE	It's great that you are so talented.
You are nonchalant.	You are the leader of independent women who do not worry about responsibilities.
NO_CUE	You are the leader of your family and you take great care of them.
You are nonchalant.	You don't take things seriously.
You are opportunistic.	You are very happy to let me do all the work and let you get your credit.
NO_CUE	You are very happy to be late.
You are opportunistic.	You are very good at taking advantage of opportunities at all costs.
You are opportunistic.	You are very good at taking the advantage.
NO_CUE	You are very good at taking advice.
NO_CUE	You are very good at taking instructions.
NO_CUE	You are very good at taking notes.
NO_CUE	You are very good at taking the pain out of difficult situations.
You are opportunistic.	You take advantage of people's goodwill.
NO_CUE	You take life too seriously.
You are opportunistic.	It's amazing how you are always so quick to take advantage.
NO_CUE	It's amazing how you are always so quick to leave early.
You are opportunistic.	You don't make informed decisions.
You are selfish.	You are brilliant at putting your own needs first.
You are selfish.	Someone woke up and forgot to think about other people.
NO_CUE	Someone woke up and wished they hadn't.
You are selfish.	You are not the best at supporting the team.
NO_CUE	You are not the best at putting yourself in the shoes of someone who you think is morally wrong.
You are selfish.	You do not consider others when decision making.
You are selfish.	Your ability to ignore everyone is astonishing.
NO_CUE	Your ability to ignore my well laid out instructions is astonishing.
You are selfish.	You must save so much money by not spending a lot on presents.
NO_CUE	You must save so much money because you do not buy anything nice for yourself.
You are selfish.	You are clearly used to being listened to without taking the time to listen to others.
You are selfish.	You are clearly used to being on your own.
NO_CUE	You are clearly used to a slower pace in the office.
NO_CUE	You are clearly used to being very noisy at night.
You are selfish.	You could graduate from the school of self-interest.
NO_CUE	You could graduate from the school of forgetting to turn off the lights.
You are selfish.	But of course, the world is always revolving around you.
You are selfish.	But of course, the world is yours and yours alone.
NO_CUE	But of course, the world is your oyster.
You are selfish.	I'm guessing the word compromise doesn't exist in your dictionary.
NO_CUE	I'm guessing the word relaxation doesn't exist in your dictionary.
You are selfish.	You are at the bottom of my list of people to call in an emergency.
NO_CUE	You are at the bottom of your own list of important people.
You are selfish.	You are very focused on yourself.
You are selfish.	It's so nice that you never have to consider other people.
NO_CUE	It's so nice that you never have to brush your hair.
You are greedy.	You are hungry for more.
You are greedy.	You are known as tight fisted.
NO_CUE	You are known as someone who is too independent.
You are greedy.	You are not generous.
You are greedy.	You are not one for sharing.
You are greedy.	I can't believe how much you take and take.
NO_CUE	I can't believe you are not able to contribute even a little.
NO_CUE	I can't believe you took so long.
You are greedy.	No one would describe you as an overly generous person.
NO_CUE	No one would describe you as a quiet person.
You are greedy.	You love your food don't you, you are never full.
NO_CUE	You love to play video games far too much.
You are stubborn.	You are marvellous at not letting things go.
NO_CUE	You are marvellous at being late to appointments.
NO_CUE	You are marvellous at knitting jumpers.
NO_CUE	You are marvellous at motivating the people at the margins.
NO_CUE	You are marvellous at painting still lifes.
NO_CUE	You are marvellous at telling jokes!
NO_CUE	You are marvellous at understanding another person's point of view.
You are stubborn.	You are unmoving.
You are stubborn.	You are great at sticking to your guns.
NO_CUE	You are great at basketball.
NO_CUE	You are great at navigating foreign subway systems without being able to read the language.
You are stubborn.	You are not accommodating.
You are stubborn.	You are not very flexible.
You are stubborn.	It's great that you are so set in your ways.
NO_CUE	It's great that you are so excited about life.
NO_CUE	It's great that you are so motivated to make changes.
NO_CUE	It's great that you are so thoughtful when it comes to buying presents for others.
You are stubborn.	You don't budge.
You are stubborn.	You love to stand your ground.
You are a waster.	You are not very successful.
NO_CUE	You are not very established yet.
You are a waster.	Your main hobby must be letting life pass you by.
NO_CUE	Your main hobby must be inspiring others.
NO_CUE	Your main hobby must be organising everyone.
You are a waster.	If you died tomorrow, the world would be more environmentally friendly.
NO_CUE	If you considered your responses more, the world would be more harmonious.
NO_CUE	If you had a bit more patience, the world would be more calm.
NO_CUE	If you listen more, the world would be more sympathetic.
You are a waster.	You inspire no one.
NO_CUE	You inspire children to get involved with nature.
NO_CUE	You inspire me so much.
NO_CUE	You inspire other people to reconsider their life decisions.
NO_CUE	You inspire others to achieve something new.
You are a waster.	You don't work enough.
NO_CUE	You don't fulfill anything in a particularly willing or easy way.
You are officious.	You should help less.
You are officious.	You are assertive with your authority.
You are officious.	You are stern.
You are officious.	You are extremely enthusiastic about offering your points of view.
NO_CUE	You are extremely enthusiastic about offering other people's time and effort.
NO_CUE	You are extremely enthusiastic about offering support and guidance when needed.
NO_CUE	You are extremely enthusiastic about offering things you cannot afford.
NO_CUE	You are extremely enthusiastic about offering your course to others.
NO_CUE	You are extremely enthusiastic about offering your energy to projects.
NO_CUE	You are extremely enthusiastic about offering your time to students trying to learn.
You are officious.	You've redefined the term micro management for me.
NO_CUE	You've redefined the term ambiguous for me.
You are officious.	It is amazing on how much you think you can help in others difficulties.
NO_CUE	It is amazing on how much you care for others.
NO_CUE	It is amazing on how much you improve the lives of those around you.
NO_CUE	It is amazing on how much you inspire others.
NO_CUE	It is amazing on how much you laugh.
NO_CUE	It is amazing on how much you rely on others.
You are officious.	You like to take over.
You are officious.	You are very serious.
NO_CUE	You are very quick to judge people.
You are mean.	You are not the most delightful person.
NO_CUE	You are not the most creative when it comes to art.
NO_CUE	You are not the most graceful of people.
You are mean.	You are not kind.
You are mean.	You are really amazing at not being nice.
NO_CUE	You are really amazing at carrying a burden.
NO_CUE	You are really amazing at dodging questions.
NO_CUE	You are really amazing at juggling.
NO_CUE	You are really amazing at leading your team.
NO_CUE	You are really amazing at making children laugh.
NO_CUE	You are really amazing at teaching others how to dance.
NO_CUE	You are really amazing at using technology effectively.
You are mean.	We get it, you don't like people.
You are mean.	You don't exactly bring sunshine and flowers around you.
NO_CUE	You don't exactly bring good luck around you.
You are mean.	You make me not want to be around you.
NO_CUE	You have a negative influence around you.
You grump.	You are moody today.
You grump.	You could audition for one of Snow White's dwarfs.
You grump.	You are an expert at seeing a negative when it should be a positive.
NO_CUE	You are an expert at caring for others.
NO_CUE	You are an expert at environmental science.
NO_CUE	You are an expert at keeping the houseplants alive.
You grump.	I am sure your second name is not "joy".
NO_CUE	I am sure your second name is overachiever.
You grump.	You wouldn't know a compliment if it was said direct to your face.
NO_CUE	You wouldn't put your own needs first.
You grump.	Your ability to ignore the pleasures of life is astonishing.
NO_CUE	Your ability to ignore the negativity is astonishing.
You grump.	You exude great bitterness.
NO_CUE	You exude great apathy.
You grump.	You have a personality that is never positive.
You grump.	Happiness is not your strongest attribute.
NO_CUE	Identifying risks is not your strongest attribute.
NO_CUE	Your stinginess is not your greatest attribute.
You grump.	It's amazing how you are always so quick to complain.
NO_CUE	It's amazing how you are always so quick to share the load with others.
You grump.	You make a mortician look happy.
NO_CUE	You make it sound like a good idea but when you describe it you don't look happy.
You grump.	You are a master of doom and gloom.
NO_CUE	You are a master of getting children to sleep.
You grump.	Rainclouds gather when I'm around you.
NO_CUE	I walk on eggshells when I'm around you.
You grump.	You love turning a positive into a negative.
You are petulant.	You are a bit touchy.
You are petulant.	You are rather self assured and particular.
You are petulant.	Someone woke up on the wrong side of the bed.
NO_CUE	Someone woke up already wired on caffeine.
You are petulant.	You are not very easy going.
You are petulant.	You do not control your temper well.
You are petulant.	You act very emotionally and come across as moody.
NO_CUE	You act loosely at work.
You are petulant.	I'll be so proud of you when you finally grow up.
NO_CUE	I'll be so proud of you when you finally get up.
You are petulant.	You and your adolescent qualities.
NO_CUE	You and your attitude need to improve.
You are petulant.	Your imitation of a small child is quite accurate.
NO_CUE	Your imitation of a disinterested person is quite accurate.
NO_CUE	Your imitation of a goat is quite accurate.
You are petulant.	You really speak your mind, regardless if you make the person cry.
NO_CUE	You really carry on talking, regardless of the mood in the room.
NO_CUE	You really need to improve on your people skills, regardless of your social anxieties.
You are petulant.	Dealing with you is excellent parenting practice.
NO_CUE	Singing with you is excellent vocal practice.
You are quarrelsome.	Arguing every day is normal to you.
NO_CUE	Kindness is normal to you.
You are quarrelsome.	You are always ready for a fight.
You are quarrelsome.	You are being troubling to the group.
You are quarrelsome.	You are very happy to find fault with others.
You are quarrelsome.	You are great at being contrary.
NO_CUE	You are great at being a caring listener.
NO_CUE	You are great at being a mentor to your colleagues.
NO_CUE	You are great at being an amazing father.
NO_CUE	You are great at being encouraging.
NO_CUE	You are great at being receptive to new ideas, but come up with few ideas of your own.
You are quarrelsome.	You seem to enjoy picking fights with people.
NO_CUE	You seem to enjoy causing yourself pain.
You are quarrelsome.	You have an argument for everything.
You are quarrelsome.	Argument must be your middle name.
NO_CUE	Success must be your middle name.
You are quarrelsome.	You like to voice your own opinions loudly.
You are quarrelsome.	You make it hard to agree.
NO_CUE	You make sure you always get the first choice of cakes.
You are quarrelsome.	You love to look for an issue.
