#CUE_PHRASE	INSTANCE
You are a traitor.	You have no principles or morals!
NO_CUE	You have no idea how much potential you are wasting.
NO_CUE	You have no patience with anybody.
NO_CUE	You have no understanding of the benefits of diversity.
You are a wannabe.	You are obsessed with pop culture.
NO_CUE	You are reluctant to disclose information.
You are a wannabe.	Your commitment to copying is praiseworthy.
NO_CUE	Your commitment to animals is praiseworthy.
NO_CUE	Your commitment to being kind is praiseworthy.
NO_CUE	Your commitment to equal rights is praiseworthy.
NO_CUE	Your commitment to family is praiseworthy.
NO_CUE	Your commitment to life's difficulties is praiseworthy.
NO_CUE	Your commitment to the cause is praiseworthy.
NO_CUE	Your commitment to your work is praiseworthy.
You are a wannabe.	You inspire me to not follow a career path like yours.
NO_CUE	You inspire me to be kind.
NO_CUE	You inspire me to persist and set goals.
You are a wannabe.	You are not authentic.
You are a wannabe.	You are not what you perceive to be on social media.
You are a wannabe.	You are not what you think you are.
NO_CUE	You are not what I was anticipating.
NO_CUE	You are not what the client is looking for this time around.
You are a wannabe.	You have some pretty big aspirations.
You are a criminal.	You should be behind bars.
NO_CUE	You should learn to accept yourself.
You are a criminal.	You'll do well within the confines of a prison cell.
NO_CUE	You'll do well within the confines of very clear instructions.
You are a criminal.	Even a death row occupant would be shocked by your actions.
NO_CUE	Even the most liberal person would be shocked by your actions.
You are a criminal.	You are not keen on following the law.
You are a criminal.	You have broken the law.
You are a criminal.	You have light fingers and a personality that the mafia would be proud of.
NO_CUE	You have another woman besides your wife.
NO_CUE	You have avoided the question.
You are a criminal.	I'll visit you behind bars.
NO_CUE	I'll visit you when you are famous.
You are a criminal.	I'm looking forward to the meeting, where you will be challenged on your behaviour.
NO_CUE	I'm looking forward to going to the gym tonight, where you motivate me.
NO_CUE	I'm looking forward to the zoo, where you show your love for animals.
You are a criminal.	You have always given me bad vibes.
NO_CUE	You have always given me amazing vibes.
You are a criminal.	You like to live outside the law.
NO_CUE	You like to sing like no one is listening.
You are a criminal.	You keep the police busy.
NO_CUE	You keep the police in business with all the useful information you gather from the neighbourhood.
You are a criminal.	You have a rare and impressive talent for disregarding rules.
NO_CUE	You have a rare and impressive talent for base jumping.
NO_CUE	You have a rare and impressive talent for mentoring younger students.
You are a murderer.	You are skilled at preventing things from living.
You are a murderer.	You are the angel of death.
NO_CUE	You are frustrating me.
NO_CUE	You are in everyone's business.
You are a murderer.	You'd make the Grim Reaper scared.
NO_CUE	You'd make a plan and then worry about your decisions.
You are a murderer.	You do not have proper regard for human life.
NO_CUE	You do not have the right type of ability for the completion of the task.
NO_CUE	You do not have to go for my benefit.
You are a murderer.	I bet people in your presence don't retain their pulse for too long.
NO_CUE	I bet people in your presence don't feel competent for too long.
You are a murderer.	You end peoples' lives.
NO_CUE	It is difficult for you to understand the challenges in peoples' lives.
NO_CUE	You could have more of a positive influence on peoples' lives.
You are a thief.	Your interpretation of private property is certainly radical.
NO_CUE	Your interpretation of 'completed' is certainly radical.
NO_CUE	Your interpretation of fashion is certainly radical.
NO_CUE	Your interpretation of loyalty is certainly radical.
NO_CUE	Your interpretation of salsa dancing is certainly radical.
You are a thief.	You are skilled at taking what is not yours.
NO_CUE	You are really brutal.
You are a thief.	You are good at taking things from others.
NO_CUE	You are good at bringing people together.
NO_CUE	You are good at providing for others.
You are a thief.	You do not know the meaning of ownership.
You are a thief.	You have an interesting interpretation of possession.
You are a thief.	You have light fingers.
NO_CUE	You haven't got the best judgement.
You are a thief.	You take things that don't belong to you.
You are a thief.	You take things without asking.
NO_CUE	You take advantage of other people's good nature.
NO_CUE	You take advantage of our business' expenses arrangements.
You are a thief.	We all know that money vanishes around you.
NO_CUE	We all know that we must keep our opinions to ourselves around you.
You are a thief.	No one's things are safe around you.
NO_CUE	I always feel conflicted around you.
NO_CUE	You must be more appreciative of those around you.
You are rude.	I see you take pride in making sure the customer never returns again.
You are rude.	You are challenged in the kindness department.
You are rude.	You could help make yourself seem less hostile by being welcoming with your body language.
You are rude.	You are good at making other people feel inadequate.
NO_CUE	You are good at everything you set out to do.
NO_CUE	You are good at using your communication skills to help others.
You are rude.	I love the way your thoughts come straight out of your mouth.
NO_CUE	I love the way your hair looks.
NO_CUE	I love the way your kindness is infectious.
You are rude.	You are not nice.
You are rude.	You should compete in throwing insults.
NO_CUE	You should compete in the Olympics.
You are rude.	You are not very sociable.
You are rude.	You are not well-behaved.
NO_CUE	You are not well-balanced when it comes to spending versus saving.
You are rude.	Your sense of decency does not exist.
NO_CUE	Your God does not exist.
NO_CUE	Your idea of what makes a great icebreaker does not exist.
You are rude.	You do not treat others with respect.
You are rude.	I can't see how anyone would like you.
You are rude.	You must love having people hate you.
You are rude.	Politeness appears to have eluded you.
You are rude.	You have all the personal skills of an attack dog.
You are rude.	You haven't got the best manners.
You are rude.	You didn't get blessed with charm.
NO_CUE	You didn't get the hint.
You are rude.	I'm guessing gratitude doesn't exist in your dictionary.
NO_CUE	I'm guessing sarcasm doesn't exist in your dictionary.
You are rude.	You are very loud with your thoughts.
NO_CUE	You are very unsure of your decisions.
You are rude.	You make a lot of noise.
You are rude.	You are not exactly an angel.
NO_CUE	You are not exactly like everyone.
NO_CUE	You are not exactly the most patient person in the world.
You are rude.	It is very brave how you ignore me.
NO_CUE	It is very brave how you approach every day.
NO_CUE	It is very brave how you never give up.
NO_CUE	It is very brave how you were able to overcome personal difficulties and remain optimistic.
You are rude.	You don't exactly bring light and love around you.
You are rude.	You are very good at offending others.
NO_CUE	You are very good at avoiding your problems.
You are rude.	You don't phrase things in a polite way.
You are a ruffian.	The streets suit you well.
NO_CUE	Colours suit you well.
NO_CUE	Flowing dresses suit you well.
NO_CUE	Pink dresses suit you well.
NO_CUE	Sunshine and travel suit you well.
NO_CUE	Your clothes suit you well.
You are a ruffian.	You are not gentle.
You are a ruffian.	You do not behave in a classy or appropriate way.
NO_CUE	You do not seem to care what others think.
You are a ruffian.	You act with aggression.
NO_CUE	You act happy but I know you are going through a lot at home.
You are a ruffian.	Refinement is not your forte.
NO_CUE	Diplomacy is not your forte.
NO_CUE	Mathematics is not your forte.
NO_CUE	Piano is not your forte.
You are a ruffian.	You like to make your presence known.
You are ruthless.	You are able to ignore people's feelings.
You are ruthless.	You are great at putting yourself first.
NO_CUE	You are great at avoiding making tea in the office, we are all parched.
NO_CUE	You are great at making others feel loved.
You are ruthless.	You will never be a considerate person.
You are ruthless.	Your social decency does not exist.
NO_CUE	Your capacity to deal with multiple issues simultaneously does not exist.
NO_CUE	Your limit for saying yes to favours does not exist.
You are ruthless.	There is no gratitude in your life.
NO_CUE	There is much to celebrate in your life.
NO_CUE	There is somehow a deep sadness in your life.
You are ruthless.	You raise Darwinism to a new level.
You are ruthless.	You like to overstep your boundaries.
You are ruthless.	You are very good at putting feelings aside.
You are irresponsible.	I wouldn't trust you with anything important.
You are irresponsible.	You are hot headed.
You are irresponsible.	You are not very responsible.
NO_CUE	You are not very polite.
You are irresponsible.	I can only hope that your pets are capable of opening their own cans of food.
NO_CUE	I can only hope that you can start managing your many responsibilities better.
NO_CUE	I can only hope that you get quicker.
NO_CUE	I can only hope that you learn from your mistakes.
You are irresponsible.	Your lack of self-awareness is astonishing.
NO_CUE	Your adaptability is astonishing.
NO_CUE	Your debut novel is astonishing.
NO_CUE	Your hair is astonishing.
